id,nop,owner_id,guardian_id,rt,rw,village,road,determination,block_number,land_area,land_area_unit,building_area,building_area_unit
241,350515000901502070,241,7,2,9,SUMBERJO,DSN KEMBANGAN,10688,015.0207,125,m2,0,m2
242,350515000901501460,242,7,000,0,SUMBERJO,BLOK 015,29690,015.0146,463,m2,0,m2
243,350515000901501470,243,7,000,0,SUMBERJO,BLOK 015,29690,015.0147,463,m2,0,m2
244,350515000901501480,244,7,000,0,SUMBERJO,BLOK 015,29690,015.0148,463,m2,0,m2
245,350515000901501490,245,7,000,0,SUMBERJO,BLOK 015,29690,015.0149,463,m2,0,m2
246,350515000901500900,246,7,003,9,SUMBERJO,JL. DESA BLOK 015,31456,015.0090,463,m2,30,m2
247,350515000901501320,247,7,002,9,SUMBERJO,DSN KEMBANGAN,18297,015.0132,214,m2,0,m2
248,350515000901501360,248,7,002,9,SUMBERJO,DSN KEMBANGAN,18297,015.0136,214,m2,0,m2
249,350515000901601460,249,7,000,0,SUMBERJO,BLOK 016,67970,016.0146,492,m2,0,m2
250,350515000901601450,250,7,000,0,SUMBERJO,BLOK 016,27630,016.0145,200,m2,0,m2
251,350515000901600850,251,7,003,9,SUMBERJO,BLOK 016,42391,016.0085,651,m2,30,m2
252,350515000901401130,252,7,001,9,SUMBERJO,BLOK 014,18360,014.0113,306,m2,0,m2
253,350515000901600820,253,7,003,9,SUMBERJO,BLOK 016,110862,016.0082,1392,m2,80,m2
254,350515000901600840,254,7,003,9,SUMBERJO,BLOK 016,35461,016.0084,553,m2,0,m2
255,350515000901601480,255,7,000,0,SUMBERJO,BLOK 016,29840,016.0148,216,m2,0,m2
256,350515000901700850,256,7,003,9,SUMBERJO,JL. DESA BLOK 017,177898,017.0085,1704,m2,0,m2
257,350515000902300660,257,7,000,0,SUMBERJO,BLOK 023,84060,023.0066,1868,m2,0,m2
258,350515000901900790,258,7,1,9,SUMBERJO,BLOK 019,33473,019.0079,522,m2,0,m2
